Time,Count,Rate
12:05:35,0,0.0
12:05:45,0,0.0
12:05:55,0,0.0
12:06:05,0,0.0
12:06:15,0,0.0
12:06:25,0,0.0
12:06:35,0,0.0
12:06:45,0,0.0
12:06:55,0,0.0
12:07:05,0,0.0
12:07:15,0,0.0
12:07:25,0,0.0
12:07:35,0,0.0
12:07:45,0,0.0
12:07:55,0,0.0
12:08:05,0,0.0
12:08:15,0,0.0
12:08:25,0,0.0
12:08:35,0,0.0
12:08:45,0,0.0
12:08:55,0,0.0
12:09:05,0,0.0
12:09:15,0,0.0
12:09:25,0,0.0
12:09:35,0,0.0
12:09:45,0,0.0
12:09:55,0,0.0
12:10:05,0,0.0
12:10:15,0,0.0
12:10:25,0,0.0
12:10:35,0,0.0
12:10:45,0,0.0
12:10:55,0,0.0
12:11:05,0,0.0
12:11:15,0,0.0
12:11:25,0,0.0
12:11:35,0,0.0
12:11:45,0,0.0
12:11:55,0,0.0
12:12:05,0,0.0
12:12:15,0,0.0
12:12:25,0,0.0
12:12:35,0,0.0
12:12:45,0,0.0
12:12:55,0,0.0
12:13:05,0,0.0
12:13:15,0,0.0
12:13:25,0,0.0
12:13:35,0,0.0
12:13:45,0,0.0
12:13:55,0,0.0
12:14:05,0,0.0
12:14:15,0,0.0
12:14:25,0,0.0
12:14:35,0,0.0
12:14:45,0,0.0
12:14:55,0,0.0
12:15:05,0,0.0
12:15:15,0,0.0
12:15:25,0,0.0
12:15:35,0,0.0
12:15:45,0,0.0
12:15:55,0,0.0
12:16:05,0,0.0
12:16:15,0,0.0
12:16:25,0,0.0
12:16:35,0,0.0
12:16:45,0,0.0
12:16:55,0,0.0
12:17:05,0,0.0
12:17:15,0,0.0
12:17:25,0,0.0
12:17:35,0,0.0
12:17:45,0,0.0
12:17:55,0,0.0
12:18:05,0,0.0
14:00:27,0,0.0
14:00:37,0,0.0
14:00:47,0,0.0
14:00:57,0,0.0
